1955.9455445979502,5265.274770244736,
5415.4391337446805,5569.57936981254,
5655.678727858898,8450.499973593038,
8762.806434337443,8958.99402861304,
9045.076681312474,12320.410525968895,
12464.560964576194,12654.751339306073,
12738.829350374624,16258.96334885552,
16403.16390350359,16549.419215823316,
16635.50186852275,20135.823325551766,
20281.97840578995,20404.094491804477,
20488.17250287303,24682.684651329364,
24828.85643691447,24991.065355546627,
25785.955878231893,26895.241030027064,
27041.396110265247,30707.701894331243,
30851.852332938546,30996.03618223969,
31656.86629585976,36593.513481415335,
36603.553394916664,36965.975896433105,
